COD;DESCRIP;ACCIONF;UNIDAD;CODLAB;NETO;MARCA;CODBAR;UNIENT;CAN_ING;CAN_IN2;VALCOM;FECHA;VENCE;CONTEN;CLIENTE;MODIFICA;MINIMO;MAX;STOCK;SW_TIPO;SW_TIPO2;novigente
V000006;ACTIVIDADES RECREATIVAS Y FEST;SIN ACCION FARMACOLO     ;UNID;  ;2000;0;               ;     ;4971.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;4;0
VR10000;ALMUERZO EXTRA                ;OTROS NO AFECTO A IV     ;UNID;  ;1040;1;               ;     ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;N_VALDIVIA     ;NULL;0;0;NULL;1;4;NULL
FK59901;ALPRAZOLAM 0,5MG X 30COMP     ;ANTISICOTICO             ;CAJA ;  ;1000;0;7,80006E+12;CAJA ;7.00;0.0;400;31-10-2004 0:00;11-07-2006 0:00;1;               ;NULL;2;5;5;2;0;0
FA31316;COLMAX 125 MGS                ;ANALGESICO               ;CAJA ;  ;4635;0;               ;     ;3.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
FB99903;AMITRIPTILINA 25MG. .                             ;ANTIDEPRESIVO            ;COMP ;  ;20;0;7,80001E+12;CAJA ;20.00;0.0;7;20-12-2004 0:00;01-07-2007 0:00;100;               ;NULL;100;400;1650;1;0;0
FB49907;AMOXICILINA 500                                   ;ANTIBIOTERAPIA           ;COMP ;  ;120;0;7,80006E+12;CAJA ;581.00;0.0;48;01-10-2003 0:00;01-07-2006 0:00;12;N_VALDIVIA     ;NULL;50;150;84;1;0;0
FB94800;LANSOPRAZOL 30 MGS            ;REGULADOR DIGESTIVO      ;CAJA ;  ;4140;0;7,80006E+12;CAJA ;10.00;0.0;45;08-08-2002 0:00;30-08-2007 0:00;30;N_VALDIVIA     ;NULL;0;0;1;4;0;1
FA30402;ASPIRINA 500MG                                    ;ANALGESICO               ;COMP ;  ;70;0;7,79364E+12;CAJA ;40.00;0.0;15;30-12-2001 0:00;31-03-2003 0:00;30;ADMINISTRADOR5 ;NULL;501;100;60;1;0;0
FA30401;ASPIRINA PED 100MG                                ;ANALGESICO               ;COMP ;  ;62;0;7,79364E+12;CAJA ;40.00;0.0;10;02-01-2003 0:00;01-02-2005 0:00;1000;ADMINISTRADOR5 ;NULL;500;2000;1447;1;0;0
FD45000;ATENOLOL 50MG.                                    ;ANTIHIPERTENSIVO         ;COMP ;  ;19;0;7,80001E+12;CAJA ;125.00;0.0;9;30-12-2001 0:00;31-08-2003 0:00;20;N_VALDIVIA     ;NULL;100;400;220;1;0;0
FC61300;ATROPINA AMPOLLA 1ML                              ;ANTIESPASMODICO          ;AMP  ;  ;100;0;7,80006E+12;CAJA ;149.00;0.0;90;30-12-2001 0:00;08-08-2006 0:00;100;N_VALDIVIA     ;NULL;50;100;190;1;0;0
FF20901;BERODUAL  SOLUCION X 20ML                         ;ANTIASMATICO             ;FCO  ;  ;20000;0;7,89603E+12;FCO  ;0.00;0.0;14360;15-02-2003 0:00;01-06-2007 0:00;1;FARMACIA       ;NULL;0;0;6;1;0;0
FA31317;BROMAZEPAM 3MG X 30COMP       ;ANALGESICO               ;CAJA.;  ;600;0;               ;     ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
FE71301;DICOMEX 25 mgs  x10  COMP     ;ANTISICOTICO             ;CAJA ;  ;7500;0;7,80001E+12;CAJA ;44.00;0.0;0;31-12-2001 0:00;31-05-2003 0:00;1;FARMACIA       ;NULL;0;0;0;3;0;0
FD80702;CADE 300 MG                   ;ANTIMANIACO              ;UNID.;  ;167;0;7,80877E+12;CAJA ;80.00;0.0;49920;10-11-2006 0:00;01-01-2007 0:00;60;               ;NULL;0;0;0;1;0;1
FC49903;CARBAMAZEPINA 200MG..              ;ANTIEPILEPTICO           ;COMP ;  ;350;0;               ;CAJA ;314.00;0.0;22;22-06-2005 0:00;01-01-2006 0:00;1000;ADMINISTRADOR5 ;NULL;800;2000;875;1;0;0
FF64000;VIT C                         ;VITAMINOTERAPIA          ;CAJA ;  ;2950;0;7,80002E+12;CAJA ;0.00;0.0;2950;31-12-2001 0:00;30-09-2003 0:00;1;N_VALDIVIA     ;NULL;0;0;0;1;0;0
FA51301;PASTA LASAR 50GR              ;HUMECTANTE PROTECTOR PIEL;POTE ;  ;1650;0;7,80001E+12;POTE ;3.00;0.0;800;08-01-2002 0:00;30-07-2004 0:00;1;N_VALDIVIA     ;NULL;5;10;8;1;0;0
FL31304;LARGACTIL 100 MGS X 20 COMP                       ;NEUROLEPTICO             ;CAJA ;  ;5500;0;2092188;CAJA ;13.00;0.0;3500;31-12-2001 0:00;31-08-2003 0:00;1;N_VALDIVIA     ;NULL;50;100;99;1;0;0
FL31302;CISORDINOL DEPOT                                  ;ANTISICOTICO             ;CAJA ;  ;30920;0;7,80001E+12;CAJA ;5.00;0.0;15465;31-12-2001 0:00;31-03-2004 0:00;1;N_VALDIVIA     ;NULL;5;20;16;1;0;0
FB41317;CLOXACILINA 500 MG.                ;ANTIBIOTERAPIA           ;COMP ;  ;113;0;               ;CAJA ;47.00;0.0;63;20-09-2005 0:00;01-01-2006 0:00;12;               ;NULL;100;300;156;1;0;0
FK59001;SPIRON 3 MG COMP              ;ANTISICOTICO             ;COMP ;  ;699;0;7,8001E+12;CAJA ;737.00;0.0;35;05-01-2002 0:00;30-07-2004 0:00;30;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FK52800;SPIRON GOTAS                  ;ANTISICOTICO             ;FRASC;  ;27051;0;7,8001E+12;FCO;1.00;0.0;12259;26-08-2002 0:00;30-03-2005 0:00;1;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FL31307;DIAZEPAM AMPOLLA 2ML          ;TRANQUILIZANTE           ;AMPO ;  ;173;0;7,80006E+12;CAJA ;175.00;0.0;70;08-01-2002 0:00;30-05-2005 0:00;100;N_VALDIVIA     ;NULL;20;500;NULL;2;0;NULL
FE61309;SEPTRIN FORTE                 ;ANTISEPTICO              ;CAJA ;  ;17235;0;               ;     ;0.00;0.0;0;01-01-1900 0:00;01-01-1900 0:00;0;               ;NULL;0;0;0;1;0;1
FL31314;DIAZEPAN 10MG. X20COMP.       ;TRANQUILIZANTE           ;CAJA ;  ;1000;0;               ;CAJA ;100.00;0.0;300;10-11-2006 0:00;01-02-2007 0:00;1;               ;NULL;50;100;8;2;0;0
FA31304;ASICOT 25                     ;ANALGESICO               ;COMP ;  ;590;0;7,80001E+12;CAJA ;905.00;0.0;8;31-12-2001 0:00;31-03-2002 0:00;10;N_VALDIVIA     ;NULL;0;0;0;1;0;1
FD61306;DICLOFENACO 75MG AMP          ;ANTIINFLAMATORIO         ;AMP  ;  ;510;0;7,80006E+12;CAJA ;236.00;0.0;156;14-12-2002 0:00;01-03-2006 0:00;100;N_VALDIVIA     ;NULL;100;300;98;1;0;0
